,LR,LSTM,LSTM_CNN,CHATGPT,LR_residuals,gpt_scores
2022-07-20 15:50:00,0,0,0,0,,0.13155665912445963
2022-07-20 16:00:00,0,0,0,0,,0.1368500929592813
2022-07-20 16:10:00,0,0,0,0,,0.12671745539446183
2022-07-20 16:20:00,0,0,0,0,,0.12991349847348715
2022-07-20 16:30:00,0,0,0,0,,0.13698040894250102
2022-07-20 16:40:00,0,0,0,0,,0.11734309939825827
2022-07-20 16:50:00,0,0,0,0,,0.14122979121190488
2022-07-20 17:00:00,0,0,0,0,,0.11943087013158565
2022-07-20 17:10:00,0,0,0,0,,0.09832141399104694
2022-07-20 17:20:00,0,0,0,0,,0.1057206701257572
2022-07-20 17:30:00,0,0,0,0,,0.1110339400106749
2022-07-20 17:40:00,0,0,0,0,,0.13273740703156123
2022-07-20 17:50:00,0,0,0,0,,0.1451666941589702
2022-07-20 18:00:00,0,0,0,0,,0.1416672349063638
2022-07-20 18:10:00,0,0,0,0,,0.0931062394116598
2022-07-20 18:20:00,0,0,0,0,,0.09867818059926553
2022-07-20 18:30:00,0,0,0,0,,0.1137811213003374
2022-07-20 18:40:00,0,0,0,0,0.2697405595188229,0.11262026807137382
2022-07-20 18:50:00,0,0,0,0,0.06081102693178053,0.13214401633436973
2022-07-20 19:00:00,0,0,0,0,0.16252752845267793,0.15381388266081858
2022-07-20 19:10:00,0,0,0,0,0.23320511189862714,0.1314166270710067
2022-07-20 19:20:00,0,0,0,0,0.2422759121553142,0.1263580297682465
2022-07-20 19:30:00,0,0,0,0,0.41170942300465185,0.1221133326471982
2022-07-20 19:40:00,0,0,0,0,0.8743974463092954,0.11613398705234695
2022-07-20 19:50:00,0,0,0,0,1.206511210615318,0.0967319013934958
2022-07-20 20:00:00,0,0,0,0,1.1952711762452495,0.1305953003747855
2022-07-20 20:10:00,0,0,0,0,0.8765765077268313,0.1325303475369501
2022-07-20 20:20:00,0,0,0,0,0.5999979523751406,0.13253879231692112
2022-07-20 20:30:00,0,0,0,0,0.2585655863213816,0.07732920796665099
2022-07-20 20:40:00,0,0,0,0,0.23038754979622666,0.07442980445225855
2022-07-20 20:50:00,0,0,0,0,0.02600945415606759,0.13124495194365216
2022-07-20 21:00:00,0,0,0,0,0.20149187392639334,0.10181927494293996
2022-07-20 21:10:00,0,0,0,0,0.4022403961958574,0.12100124401856338
2022-07-20 21:20:00,0,0,0,0,0.6954029906198471,0.08195782476430441
2022-07-20 21:30:00,0,0,0,0,0.9482626598979351,0.1101376701315871
2022-07-20 21:40:00,0,0,0,0,0.8522708171795017,0.11525000965298537
2022-07-20 21:50:00,0,0,0,0,0.3627778153896841,0.12209506874295101
2022-07-20 22:00:00,0,0,0,0,0.17766215108095906,0.12302139666326561
2022-07-20 22:10:00,0,0,0,0,0.746937608184524,0.13379927150303028
2022-07-20 22:20:00,0,0,0,0,0.8839486301937143,0.14317575041356273
2022-07-20 22:30:00,0,0,0,0,1.049816844182189,0.10566526054619274
2022-07-20 22:40:00,0,0,0,0,1.1401913476673968,0.11561112911924304
2022-07-20 22:50:00,0,0,0,0,0.8891295668930113,0.1382210720866423
